CRN,Reviews,Stars
30619,,0
30620,,0
31298,,0
30621,,0
30629,,0
30628,,0
30624,,0
30623,,0
31205,,0
30626,,0
30627,,0
30625,,0
30636,,0
30635,,0
31317,,0
31318,,0
30638,,0
30637,,0
13423,,0
13424,,0
13425,,0
13436,,0
13437,,0
13428,,0
13429,,0
13433,,0
13434,,0
13435,,0
13430,,0
13431,,0
13432,,0
13438,,0
13439,,0
13440,,0
13427,,0
23196,,0
23203,,0
23204,,0
23197,,0
23198,,0
23199,,0
23210,,0
23211,,0
23194,,0
23200,,0
23201,,0
23202,,0
23207,,0
23208,,0
23209,,0
23195,,0
